,PCS MODE,VISIT TYPE,SCHEDULED START TIME,DURATION,SCIENCE INSTRUMENT,TARGET NAME,CATEGORY,KEYWORDS,ADDITIONAL INSTRUMENTATION,PRIME
73,FINEGUIDE,PRIME WFSC ROUTINE,2022-11-25 11:23:22,0 days 01:32:08,WFSC NIRCam Fine Phasing,2MASS-23425655+0014229,Calibration,Focus test,0,True
74,MOVING,PRIME TARGETED MOVING,2022-11-25 13:06:49,0 days 00:20:48,NIRSpec IFU Spectroscopy,CALLISTO,Solar System,Satellite,0,True
75,NONE,PRIME UNTARGETED,2022-11-25 13:28:30,0 days 00:03:53,NIRSpec Internal Lamp,,,,,
76,FINEGUIDE,PRIME TARGETED FIXED,2022-11-25 14:39:54,0 days 19:15:49,NIRSpec MultiObject Spectroscopy,BLUEJAY-MASTER-NORTH,,,1,True
77,,,,,NIRCam Imaging,,,,,
78,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 10:41:05,0 days 04:37:15,NIRCam Imaging,JWST-NEP-TDS-FIELD,Unidentified,"Infrared sources, Radio sources, Variable radiation sources, Visible sources, X-ray sources",1,True
79,,,,,NIRISS Wide Field Slitless Spectroscopy,,,,,
80,MOVING,PRIME TARGETED MOVING,2022-11-26 16:05:41,0 days 00:21:08,NIRSpec IFU Spectroscopy,2002AW197,Solar System,Asteroid,0,True
81,NONE,PRIME UNTARGETED,2022-11-26 16:27:42,0 days 00:03:53,NIRSpec Internal Lamp,,,,,
82,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 16:57:46,0 days 01:13:52,MIRI Imaging,NGC-3227,Galaxy,"Active galactic nuclei, Active galaxies, Seyfert galaxies",1,True
83,NONE,PARALLEL DARK CALIBRATION,,,NIRCam Dark,,,,,
84,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 18:17:40,0 days 00:41:32,MIRI Imaging,NGC-3227-BCKGND,Galaxy,"Active galactic nuclei, Active galaxies, Seyfert galaxies",0,True
85,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 19:15:37,0 days 00:33:59,NIRSpec IFU Spectroscopy,IRAS-10565+2448,Galaxy,"Starburst galaxies, Ultraluminous infrared galaxies",1,True
86,NONE,PARALLEL DARK CALIBRATION,,,NIRCam Dark,,,,,
87,NONE,PRIME UNTARGETED,2022-11-26 19:50:29,0 days 00:03:53,NIRSpec Internal Lamp,,,,,
88,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 21:03:19,0 days 01:09:39,NIRCam Coronagraphic Imaging,FOMALHAUT-C,Star,"Debris disks, M dwarfs",0,True
89,FINEGUIDE,PRIME TARGETED FIXED,2022-11-26 22:29:59,0 days 01:09:39,NIRCam Coronagraphic Imaging,FOMALHAUT-C,Star,"Debris disks, M dwarfs",0,True
90,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 00:27:06,0 days 01:09:39,NIRCam Coronagraphic Imaging,V-AP-COL,Star,M dwarfs,0,True
91,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 01:53:46,0 days 01:09:39,NIRCam Coronagraphic Imaging,V-AP-COL,Star,M dwarfs,0,True
92,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 03:39:52,0 days 01:09:39,NIRCam Coronagraphic Imaging,2MJ0944,Star,M dwarfs,0,True
